client_num,Card_Category,annual_fees,activation_30_days,customer_acq_cost,week_start_date,week_num,qtr,current_year,credit_limit,total_revolving_bal,total_trans_amt,total_trans_ct,avg_utilization_ratio,use_chip,exp_type,Interest_earned,delinquent_acc,Revenue,week_nun2
708508758,Blue,375,1,52,08-Jan-23,Week-2,Q1,2023,1438.3,0,692,16,0,Swipe,Bills,76,0,1143,2
709042908,Blue,95,1,119,15-Jan-23,Week-3,Q1,2023,1438.3,0,2207,68,0,Swipe,Bills,154,0,2456,3
709297608,Blue,290,1,83,22-Jan-23,Week-4,Q1,2023,1438.3,0,1585,32,0,Swipe,Bills,301,0,2176,4
709345008,Blue,460,1,85,22-Jan-23,Week-4,Q1,2023,1438.3,0,807,22,0,Swipe,Bills,169,0,1436,4
709465758,Blue,95,1,44,22-Jan-23,Week-4,Q1,2023,1438.3,0,902,31,0,Swipe,Bills,117,0,1114,4
709531908,Blue,125,0,69,22-Jan-23,Week-4,Q1,2023,1438.3,0,2184,53,0,Swipe,Bills,480,0,2789,4
709633533,Blue,100,1,106,22-Jan-23,Week-4,Q1,2023,1438.3,0,2789,50,0,Swipe,Bills,335,0,3224,4
710211783,Blue,400,0,73,05-Feb-23,Week-6,Q1,2023,1438.3,0,2264,39,0,Swipe,Bills,543,0,3207,6
710284233,Blue,415,0,113,05-Feb-23,Week-6,Q1,2023,1438.3,0,2439,43,0,Swipe,Bills,537,0,3391,6
710487033,Blue,125,1,98,05-Feb-23,Week-6,Q1,2023,1438.3,0,4445,78,0,Swipe,Bills,756,0,5326,6
711274458,Blue,410,1,96,26-Feb-23,Week-9,Q1,2023,1438.3,0,2478,45,0,Swipe,Bills,446,0,3334,9
711445233,Blue,150,0,78,26-Feb-23,Week-9,Q1,2023,1438.3,0,4653,78,0,Swipe,Bills,1303,0,6106,9
711487533,Blue,365,0,84,26-Feb-23,Week-9,Q1,2023,1438.3,0,1687,38,0,Swipe,Bills,405,0,2457,9
711540108,Blue,125,1,80,26-Feb-23,Week-9,Q1,2023,1438.3,0,2316,48,0,Swipe,Bills,648,0,3089,9
711551958,Blue,420,1,103,26-Feb-23,Week-9,Q1,2023,1438.3,0,844,24,0,Swipe,Bills,236,0,1500,9
711593808,Blue,440,1,50,26-Feb-23,Week-9,Q1,2023,1438.3,0,888,18,0,Swipe,Bills,133,0,1461,9
711643458,Blue,455,0,80,05-Mar-23,Week-10,Q1,2023,1438.3,0,1439,41,0,Swipe,Bills,360,0,2254,10
711873033,Blue,440,0,121,05-Mar-23,Week-10,Q1,2023,1438.3,0,2549,56,0,Swipe,Bills,408,0,3397,10
712300683,Blue,435,1,80,12-Mar-23,Week-11,Q1,2023,1438.3,0,4897,96,0,Swipe,Bills,294,0,5626,11
712433508,Blue,285,0,43,19-Mar-23,Week-12,Q1,2023,1438.3,0,724,16,0,Swipe,Bills,109,0,1118,12
712560558,Blue,270,0,76,19-Mar-23,Week-12,Q1,2023,1438.3,0,4660,87,0,Swipe,Bills,559,0,5489,12
713186058,Blue,330,0,97,02-Apr-23,Week-14,Q2,2023,1438.3,0,2191,51,0,Swipe,Bills,548,0,3069,14
713499408,Blue,245,0,88,09-Apr-23,Week-15,Q2,2023,1438.3,0,4109,71,0,Swipe,Bills,1192,0,5546,15
713542008,Blue,430,1,140,09-Apr-23,Week-15,Q2,2023,1438.3,0,4236,83,0,Swipe,Bills,1101,0,5767,15
713656308,Blue,375,1,75,09-Apr-23,Week-15,Q2,2023,1438.3,0,4210,75,0,Swipe,Bills,926,0,5511,15
714252933,Blue,325,1,75,23-Apr-23,Week-17,Q2,2023,1438.3,0,4737,80,0,Swipe,Bills,711,0,5773,17
714418983,Blue,475,1,107,23-Apr-23,Week-17,Q2,2023,1438.3,0,4509,80,0,Swipe,Bills,586,0,5570,17
714451833,Blue,445,0,89,30-Apr-23,Week-18,Q2,2023,1438.3,0,1431,34,0,Swipe,Bills,272,0,2148,18
715212108,Blue,425,1,91,14-May-23,Week-20,Q2,2023,1438.3,0,4565,84,0,Swipe,Bills,1324,0,6314,20
718183833,Blue,245,0,114,02-Jul-23,Week-27,Q3,2023,1438.3,0,4322,68,0,Swipe,Bills,1124,0,5691,27
718896108,Blue,295,1,94,16-Jul-23,Week-29,Q3,2023,1438.3,0,5014,84,0,Swipe,Bills,451,0,5760,29
719591283,Blue,380,0,86,30-Jul-23,Week-31,Q3,2023,1438.3,0,2412,58,0,Swipe,Bills,241,0,3033,31
719808558,Blue,250,1,97,30-Jul-23,Week-31,Q3,2023,1438.3,0,886,27,0,Swipe,Bills,257,0,1393,31
719860308,Blue,100,1,102,30-Jul-23,Week-31,Q3,2023,1438.3,0,2418,48,0,Swipe,Bills,653,0,3171,31
719953383,Blue,100,1,89,30-Jul-23,Week-31,Q3,2023,1438.3,0,4564,79,0,Swipe,Bills,867,0,5531,31
719964933,Blue,330,0,121,06-Aug-23,Week-32,Q3,2023,1438.3,0,4550,78,0,Swipe,Bills,1001,0,5881,32
720450108,Blue,125,0,79,13-Aug-23,Week-33,Q3,2023,1438.3,0,1585,37,0,Swipe,Bills,174,0,1884,33
720599658,Blue,380,1,88,13-Aug-23,Week-33,Q3,2023,1438.3,0,5104,75,0,Swipe,Bills,1021,0,6505,33
720605808,Blue,125,0,89,13-Aug-23,Week-33,Q3,2023,1438.3,0,799,17,0,Swipe,Bills,168,0,1092,33
721057758,Blue,300,0,88,20-Aug-23,Week-34,Q3,2023,1438.3,0,1449,27,0,Swipe,Bills,362,0,2111,34
721282908,Blue,300,1,146,27-Aug-23,Week-35,Q3,2023,1438.3,0,3971,60,0,Swipe,Bills,1032,0,5303,35
721417233,Blue,360,1,88,27-Aug-23,Week-35,Q3,2023,1438.3,0,709,27,0,Swipe,Bills,128,0,1197,35
753606108,Blue,110,1,119,03-Sep-23,Week-36,Q3,2023,1438.3,0,1093,22,0,Swipe,Bills,98,0,1301,36
769137108,Blue,250,1,106,10-Sep-23,Week-37,Q3,2023,1438.3,0,974,28,0,Swipe,Bills,136,0,1360,37
769662033,Blue,245,0,98,10-Sep-23,Week-37,Q3,2023,1438.3,0,5025,85,0,Swipe,Bills,452,0,5722,37
770180808,Blue,470,1,99,17-Sep-23,Week-38,Q3,2023,1438.3,0,5001,91,0,Swipe,Bills,1200,0,6671,38
770581983,Blue,490,1,80,17-Sep-23,Week-38,Q3,2023,1438.3,0,4885,88,0,Swipe,Bills,440,0,5815,38
771455508,Blue,430,1,91,17-Sep-23,Week-38,Q3,2023,1438.3,0,4104,83,0,Swipe,Bills,246,0,4780,38
771594783,Blue,425,1,54,17-Sep-23,Week-38,Q3,2023,1438.3,0,2264,37,0,Swipe,Bills,498,0,3187,38
773389908,Blue,245,1,103,01-Oct-23,Week-40,Q4,2023,1438.3,0,2075,66,0,Swipe,Bills,249,0,2569,40
778574283,Blue,430,1,98,01-Oct-23,Week-40,Q4,2023,1438.3,0,2118,64,0,Swipe,Bills,593,0,3141,40
